id,dep_delayed_15min
0,0.03647475317120552
1,0.02214936353266239
2,0.0634983628988266
3,0.23791056871414185
4,0.22957070171833038
5,0.09274037927389145
6,0.04110018536448479
7,0.17488914728164673
8,0.17392638325691223
9,0.28167474269866943
10,0.2587908208370209
11,0.1725005805492401
12,0.08834867179393768
13,0.18339943885803223
14,0.06298641115427017
15,0.2562214434146881
16,0.04451777786016464
17,0.3753381073474884
18,0.4704962372779846
19,0.006265848875045776
20,0.28541046380996704
21,0.0571797676384449
22,0.22527390718460083
23,0.14861343801021576
24,0.23942947387695312
25,0.36052146553993225
26,0.003647815901786089
27,0.025272119790315628
28,0.17192459106445312
29,0.14359058439731598
30,0.12346632033586502
31,0.41684624552726746
32,0.07762812077999115
33,0.3493896722793579
34,0.6167590618133545
35,0.264670729637146
36,0.20506399869918823
37,0.13708972930908203
38,0.09786715358495712
39,0.19200454652309418
40,0.17535260319709778
41,0.17266462743282318
42,0.19672544300556183
43,0.35588085651397705
44,0.13905470073223114
45,0.5581119060516357
46,0.001077868975698948
47,0.23701255023479462
48,0.5059011578559875
49,0.08442788571119308
50,0.42500242590904236
51,0.027679946273565292
52,0.18961220979690552
53,0.4502715468406677
54,0.2853563129901886
55,0.06638024002313614
56,0.19922089576721191
57,0.29135382175445557
58,0.10210414975881577
59,0.29258251190185547
60,0.15262958407402039
61,0.09016084671020508
62,0.1397189050912857
63,0.2550880014896393
64,0.17617005109786987
65,0.18041470646858215
66,0.013965236023068428
67,0.07635233551263809
68,0.16477090120315552
69,0.2922000288963318
70,0.012297985143959522
71,0.20238322019577026
72,0.34940803050994873
73,0.3198429048061371
74,0.5948693752288818
75,0.24683576822280884
76,0.08402349799871445
77,0.13913556933403015
78,0.08782652020454407
79,0.09440592676401138
80,0.17496593296527863
81,0.14459000527858734
82,0.0838003009557724
83,0.20681685209274292
84,0.13404661417007446
85,0.001946261152625084
86,0.12707974016666412
87,0.22206304967403412
88,0.3034360408782959
89,0.2680295705795288
90,0.2011207640171051
91,0.39503270387649536
92,0.11090196669101715
93,0.12105396389961243
94,0.264080673456192
95,0.20941036939620972
96,0.36384499073028564
